NO_ID_PRO,TITRE_PRODUCTION,REALISATEUR,ANNEE_PROD,PERIODE_DE,PERIODE_AU,NB_JOURTOURNAGEMONTREAL,NB_JOURTOURNAGEVIEUXMONTREAL,NOM_TYPEPRODUCTION,NOM_PROVENANCE,NO_TYPEPRODUCTION,NO_PROVENANCE
4532,DIVERS,Divers,2004,2004-08-18,2004-12-31,0,0,Message publicitaire,Canadienne,15,6
4533,Q92,Doug Harris,2004,2004-09-01,2004-09-02,1,1,Message publicitaire,Canadienne,15,6
4534,DIVERS,Éric Couture,2004,2004-08-24,2004-08-24,0,0,Message publicitaire,Canadienne,15,6
4536,GOLDEN PALACE.COM,Éric Couture,2004,2004-08-24,2004-08-24,1,0,Message publicitaire,Canadienne,15,6
4537,NICORETTE,Sean Anicic,2004,2004-08-20,2004-08-20,1,0,Message publicitaire,Canadienne,15,6
4538,KELLOG'S,Alain Desrochers,2004,2004-08-20,2004-08-20,1,0,Message publicitaire,Canadienne,15,6
4539,C'EST MON SHOW,Divers,2004,2004-08-23,2004-12-31,80,0,Télévision générale,Canadienne,14,6
4541,À la di Stasio III,Marie Carpentier / Marc Cayer / Francis Legault,2004,2004-05-26,2004-12-31,52,0,Télévision générale,Canadienne,14,6
4544,LA RUE ZONE INTERDITE,Gilbert Duclos,2004,2004-08-22,2004-08-22,1,0,Télévision générale,Canadienne,14,6
4547,DIVERS PHOTOS,différent à chaque projet,2004,2004-08-30,2004-12-31,0,0,Photographie,Canadienne,18,6
4548,Opéra Stories,Albert Girard,2004,2004-06-20,2004-09-01,6,0,Série télévisée,Canadienne,13,6
4549,D'ARTAGNAN,Pierre Aknine,2004,2004-08-28,2004-09-08,0,0,Long métrage,Coproduction,11,8
4550,BAILEY'S,Kathryn Bigelow,2004,2004-08-25,2004-12-31,2,0,Publicité étrangère,Etrangère,21,7
4552,HISTOIRE DE FAMILLE,Michel Poulette,2004,2004-09-07,2004-10-24,35,1,Série télévisée,Canadienne,13,6
4553,LOTO-QUÉBEC/MONOPOLY,MAXIME GIROUX,2004,2004-08-26,2004-08-26,1,0,Message publicitaire,Canadienne,15,6
4554,LE DERNIER MATCH DE LA VIE - MOURIR,Lisette Marcotte et German Gutierrez,2004,2004-01-28,2004-10-15,45,0,Télévision générale,Canadienne,14,6
4555,ÉRIC ALEXANDRE,Jean-Claude Lussier,2004,2004-09-02,2004-09-03,1,1,Photographie,Canadienne,18,6
4556,DIVERS,,2004,2004-09-07,2004-12-31,0,0,Message publicitaire,Canadienne,15,6
4557,DIVERS,DIVERS,2004,2004-08-26,2004-12-31,0,0,Télévision générale,Canadienne,14,6
4558,15 LOVE II,Paolo Barzman et Graeme Lynch,2004,2004-07-05,2004-09-17,5,0,Série télévisée,Coproduction,13,8
4559,THE FIRST DAY OF MY LIFE,David Uloth,2004,2004-08-26,2004-08-29,4,0,Court métrage,Canadienne,16,6
4560,MONTREAL HYPE,Jon Jirjis,2004,2004-08-27,2004-09-19,6,0,Télévision générale,Canadienne,14,6
4561,LA NEUVAINE (Jeanne et François),Bernard Émond,2004,2004-09-13,2004-11-10,11,0,Long métrage,Canadienne,11,6
4562,90 SECONDES,DIVERS (7),2004,2004-09-04,2004-09-11,4,0,Film étudiant,Canadienne,19,6
4563,BARMAIDS,Simon Boisvert,2004,2004-08-28,2004-09-06,8,0,Long métrage,Canadienne,11,6
4566,ESQUISSE DE TOI,Sébastien Trahan,2004,2004-08-27,2004-08-29,2,0,Court métrage,Canadienne,16,6
4567,TRIPPING THE WIRE,Stephen Surjik,2004,2004-08-26,2004-09-23,21,0,Téléfilm,Canadienne,12,6
4568,SKI-DOO SHOPPER,Jeff Steenbakkers,2004,2004-09-02,2004-09-02,1,0,Vidéo,Canadienne,17,6
4569,DÉFAILLANCES TECHNIQUES II,IVAN LAMONTAGNE,2004,2004-06-01,2004-12-31,25,0,Télévision générale,Canadienne,14,6
4570,SANS ELLE,Jean Beaudin,2004,2004-09-20,2004-11-30,8,0,Long métrage,Canadienne,11,6
4571,DIVERS PHOTOGRAPHIE SPORT,,2004,2004-08-27,2004-12-31,0,0,Photographie,Canadienne,18,6
4572,DIVERS PHOTOGRAPHIE SPORT,PHOTOGRAPHE : PIERRE LAVIGNE,2004,2004-08-31,2004-09-02,2,0,Photographie,Canadienne,18,6
4573,HONDA,Jean-Marc Piché,2004,2004-08-31,2004-09-01,1,0,Message publicitaire,Canadienne,15,6
4574,EXPRESSION PRIVÉE,Stéphane Najman,2004,2004-08-31,2004-08-31,1,0,Photographie,Canadienne,18,6
4575,DESJARDINS,Luc Robitaille,2004,2004-09-01,2004-09-02,1,0,Photographie,Canadienne,18,6
4577,SKI-DOO SHOPPER,Jeff Steenbakkers,2004,2004-09-02,2004-09-02,1,0,Vidéo,Canadienne,17,6
4578,DANONE,Alexis Durand-Brault,2004,2004-09-08,2004-09-09,1,0,Message publicitaire,Canadienne,15,6
4579,Demandes spéciales,Jean Lamoureux et Brigitte Couture,2004,2004-09-24,2004-11-30,8,0,Télévision générale,Canadienne,14,6
4580,LA PROMESSE,Claude Blanchard - Martin Thibault,2004,2004-09-15,2005-08-08,52,3,Télé-roman,Canadienne,23,6
4581,ARIANE MOFFATT (re-shoot),Dominic Laurence,2004,2004-09-07,2004-09-07,1,0,Vidéo,Canadienne,17,6
4582,À BOUT DE SOUFFLE,"Nicolas Desrosiers, Marie-Claude Lalumière",2004,2004-09-23,2005-06-01,100,0,Télévision générale,Canadienne,14,6
4583,HEMA-QUEBEC,Marie-Julie Dallaire,2004,2004-09-08,2004-09-08,1,0,Message publicitaire,Canadienne,15,6
4584,MERCEDES BENZ,Photographe : Eva Van Den Bulcke,2004,2004-09-16,2004-09-17,1,1,Photographie,Canadienne,18,6
4585,L'HORLOGE BIOLOGIQUE,Ricardo Trogi,2004,2004-10-04,2004-11-12,4,0,Long métrage,Canadienne,11,6
4586,L'AUDITION,Luc Picard,2004,2004-10-04,2004-11-21,25,0,Long métrage,Canadienne,11,6
4587,STAR CHOICE,Frederic D'Amour,2004,2004-09-13,2004-09-14,2,0,Message publicitaire,Canadienne,15,6
4589,ADELA,Jocelyn Barnabé,2004,2004-09-27,2004-10-08,10,0,Télévision générale,Canadienne,14,6
4590,DIVERS PUB,DIVERS,2004,2004-09-10,2004-12-31,0,0,Message publicitaire,Canadienne,15,6
4591,M3S - Ministère de la santé et des services sociaux,Marie-Lou Wolf,2004,2004-09-16,2004-09-17,2,0,Message publicitaire,Canadienne,15,6
4592,LA CHAINE ALIMENTAIRE,Mario Desmarais,2004,2004-10-01,2004-10-06,4,0,Télévision générale,Canadienne,14,6
4593,À DÉFINIR,Amélie Couture-Telmosse,2004,2004-11-04,2004-11-11,8,0,Film étudiant,Canadienne,19,6
4594,LES EX,Frédérik d'Amours,2004,2004-10-05,2004-12-03,35,0,Série télévisée,Canadienne,13,6
4595,LA BEAUTÉ DU MONDE,Véro Boncompagni,2004,2004-09-15,2004-09-15,1,0,Court métrage,Canadienne,16,6
4596,BERLIN,Sarah-Geela Davis,2004,2004-09-15,2004-09-18,4,0,Court métrage,Canadienne,16,6
4597,"UNE PILULE, UNE PETITE GRANULE","L.Phaneuf, F.Verreault, M-A.Chabot, L-R.Leduc",2004,2004-09-14,2005-03-01,84,0,Télévision générale,Canadienne,14,6
4599,CERENA,Xavier Gens,2004,2004-09-17,2004-09-18,1,1,Vidéo,Etrangère,17,7
4600,STEEL TOES (Cherry docs),"David Gow, Mark Adam",2004,2004-10-04,2004-12-31,5,0,Long métrage,Canadienne,11,6
4601,LES DERNIÈRES VIOLENCES,Denise Payette,2004,2004-10-05,2004-11-28,13,0,Télévision générale,Canadienne,14,6
4602,RUPTURE,Jean-Antoine Charest,2004,2004-10-02,2004-10-03,1,0,Court métrage,Canadienne,16,6
4603,GENERAL MOTORS,Emmanuel Hoss Desmarais,2004,2004-09-21,2004-09-22,2,0,Message publicitaire,Canadienne,15,6
4604,BURGER KING # 2,MAXIME GIROUX,2004,2004-09-17,2004-09-17,1,0,Message publicitaire,Canadienne,15,6
4605,IL FAUT QUE TU T'EN AILLES,Kevin Defreitas,2004,2004-09-20,2004-09-21,1,0,Vidéo,Canadienne,17,6
